address,sources,source_count,label
0x00278018530825863b765dc6cd581c0a8d471ade,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x002bc2632ec91e229470e747534ca93da52bb266,etherscan_malicious_labels.csv;master_blacklist_set.txt,2,1
0x002bf459dc58584d58886169ea0e80f3ca95ffaf,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x002f0c8119c16d310342d869ca8bf6ace34d9c39,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_address_bonus.txt;phishing_scams.csv;trans2vec-phishing-address.txt,9,1
0x0030370284e6e8e221a43aefa7f3df1d38e523a6,phishing_address_groundtruth.txt,1,1
0x0038593ce30c2d5547fedd7a20f9f0dccc2d0000,phishing_addresses.csv,1,1
0x003bf9b7b4f7777a8fa5f5a7a042c0eaa5621f1c,phishing_address_groundtruth.txt,1,1
0x003eb9c77b5b896fcc27adead606d23def34510e,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x003f12c49df27295fe97d4990b7901e2c855adf5,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x003f13d95ccbd7b8778ca66be31adf71add79ee6,phishing_addresses.csv;scamsniffer-phishing-address.json,2,1
0x0052a8400f51a26a53dfc589745bc0dd18be4993,cryptoscamdb_urls.yaml;etherscan_malicious_labels.csv;master_blacklist_set.txt,3,1
0x0056772bdf90826648cf25c6977e535733875724,phishing_addresses.csv,1,1
0x0059b14e35dab1b4eee1e2926c7a5660da66f747,addresses-darklist.json;cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_address_bonus.txt;phishing_scams.csv;trans2vec-phishing-address.txt,10,1
0x005b9f4516f8e640bbe48136901738b323c53b00,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x005ce7ee014c00c5905edfa806f094202bda7898,phishing_address_groundtruth.txt,1,1
0x0061fb5485dff4bb85c078dca80d19119224d97e,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_address_bonus.txt;phishing_scams.csv;trans2vec-phishing-address.txt,6,1
0x00650a784ee109797ba8c05f3496bdbf2b2b7a1c,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x0067b43cb530e683dbffb43f5caacde867472721,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x006825268be637416a7a61729a085a7fecace409,phishing_address_groundtruth.txt,1,1
0x0068fc80b036699e7ef53d2997d7a70fb6b9017b,phishing_address_groundtruth.txt,1,1
0x006bdb8a84b2b157108151ee4d14de9cdb63012c,phishing_address_groundtruth.txt,1,1
0x006bfe806273b9bf223769532332a687d8f6dd11,phishing_addresses.csv;scamsniffer-phishing-address.json,2,1
0x006d4d4d9bb416706a9843f119fb6ebbb94edab0,phishing_address_groundtruth.txt,1,1
0x006fec8a68cfbd4eef7f0a9a0ef5b99cbd76dd60,phishing_address_groundtruth.txt,1,1
0x00701ad62d277b0f075fedbdd33019e0f42a5ed9,cryptoscamdb_urls.yaml;etherscan_malicious_labels.csv;master_blacklist_set.txt,3,1
0x007a376e488cee20e2b059e683e61af28eea9f63,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x007b7f245578b1ee26aace08291d66960080a2a6,etherscan_malicious_labels.csv;master_blacklist_set.txt,2,1
0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1,master_blacklist_set.txt,1,1
0x0081f6e895ccf4bb68d6d1750fc9ea921d6b8fb3,phishing_address_groundtruth.txt,1,1
0x0083e2afbc3efd683ec3b9d08f5187ff5d7038bb,phishing_address_groundtruth.txt,1,1
0x0084515449b037205a33d6d3940a5684126aa4b5,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_address_bonus.txt;phishing_scams.csv;trans2vec-phishing-address.txt,9,1
0x008f3db10374099a11ec263415cb88c952abeedc,addresses-darklist.json;cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_address_bonus.txt;phishing_scams.csv;trans2vec-phishing-address.txt,10,1
0x009515efabccdbafa485f3919d94c85ff23ba75d,phishing_addresses.csv,1,1
0x0096b6319e7468c9edce56be3641c0651b639728,phishing_address_groundtruth.txt,1,1
0x00997caa0a9152e5bbfde3a8e320eb8f712cd9a0,phishing_address_groundtruth.txt,1,1
0x009aadbc3826a67b603483e7b1174806d8a782bf,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x009c7cbb41640b6c621375f500685e1d0ea9d006,phishing_address_groundtruth.txt,1,1
0x00a4d8e91d92595972ea5810537d87eb664f5bcd,etherscan_malicious_labels.csv;master_blacklist_set.txt;phishing_scams.csv,3,1
0x00a50d7e9b6d3e6ad4849d939c7857b3d50a5958,etherscan_malicious_labels.csv;master_blacklist_set.txt,2,1
0x00a5af2d7b3e4c836c699bfe3b25d68343d2659a,phishing_address_groundtruth.txt,1,1
0x00aa5d5edd6ef6f99b801326f5436ee9d61564d6,etherscan_malicious_labels.csv;master_blacklist_set.txt;phishing_scams.csv,3,1
0x00b1fd5fb9f0fc47df092d8e71547e753a56d1f1,phishing_addresses.csv;scamsniffer-phishing-address.json,2,1
0x00b39ce0c12206d88283be1db5a2505f6e90d23b,etherscan_malicious_labels.csv;master_blacklist_set.txt;phishing_addresses.csv,3,1
0x00b7a4ce49ea5ca7ae4e5d7bbad460a7f695670a,phishing_address_groundtruth.txt,1,1
0x00b876ff56bce5d4e8b824f3af67cac2d6ae2756,phishing_address_groundtruth.txt,1,1
0x00bbd61f1f46bb2882e59af47b69dd7b501d5317,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x00c33c49f9a2a920e3f3787204cbda9012d1912e,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x00c5de1fc14428dcbbc247b6d16256c642df8c28,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x00c69f9421a1d58601a61275799cc2aeb443acc8,phishing_addresses.csv;scamsniffer-phishing-address.json,2,1
0x00c8bd3cd1e649a3fd2a89b3edc1c2ab631227a0,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x00ca7c1fdccdd3e62abef473f0cfb3adb7983661,phishing_address_groundtruth.txt,1,1
0x00d07f8c2194f14c8d694680f2b8c0be66d4d5e9,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x00d1b808f730ff8bfa7d1daff969359de6c8c2e9,phishing_address_groundtruth.txt,1,1
0x00d71de39c7bea8b69ae917a3e56c4717ef9d566,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x00d82be7202f50d0f396bfa640d10f42fef8dab5,phishing_address_groundtruth.txt,1,1
0x00d945c12e455c6a5ca1f6747ab994476ef4ebf1,phishing_address_groundtruth.txt,1,1
0x00dbc5d9f5c3cfb4f9f889ad0bf20650a21c6c39,cryptoscamdb_urls.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,5,1
0x00dd74a19a4a7f1613f1bcf49d81944a7974d2a9,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x00de6bb8c4c4072aa4eb8d7e04d76a00d4621428,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_address_bonus.txt;phishing_scams.csv;trans2vec-phishing-address.txt,6,1
0x00e01a648ff41346cdeb873182383333d2184dd1,addresses-darklist.json;cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,8,1
0x00e286b5b947e4689c1ad6791768b5301c3bc4d5,phishing_address_groundtruth.txt,1,1
0x00e365c8ffb58b40858cbe04e35834e5ded1e2df,phishing_address_groundtruth.txt,1,1
0x00e8b95224298d3a9d14f4982b56f53275431f57,cryptoscamdb_urls.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,5,1
0x00e9aaedba1b1ee33bb7affa576d7911c897a8cc,phishing_address_groundtruth.txt,1,1
0x00eb4cc5eeac114294f3beef4007bcdaec293f59,cryptoscamdb_urls.yaml;etherscamdb.yaml,2,1
0x00eb6f5199cd0b671da371969b1a0f948e982fea,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_address_bonus.txt;phishing_scams.csv;trans2vec-phishing-address.txt,9,1
0x00f4d7044c10331e007731c689190fc6dbcb7a9a,scamsniffer-phishing-address.json,1,1
0x00f91664065c9858628faab8e6dad11c1d5f94d9,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x00f9ee168f69b67c8fcb877ce606ac1419ff1b67,phishing_address_groundtruth.txt,1,1
0x00fbf5e62c707a9a5f9dd26d425eaf805eb8d548,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x01012022d43a3f85196a6bea96dfdb7350fdaa3c,etherscan_malicious_labels.csv;master_blacklist_set.txt;phishing_scams.csv,3,1
0x01096f6a390f68ef59a155bbc668c69ebcd8d345,phishing_address_groundtruth.txt,1,1
0x010b7dbc4ae899196b1ffbec4b59561858692589,scamsniffer-phishing-address.json,1,1
0x010b8a631fa329e9f76b597136cac88d067f5cc1,phishing_address_groundtruth.txt,1,1
0x010c3f11ae526f38fb5f267782649907fd42664d,phishing_address_groundtruth.txt,1,1
0x010d271b8e97d593839d9db18fa8d989e9dbb359,phishing_addresses.csv;scamsniffer-phishing-address.json,2,1
0x010de7d32b5d59697b8fdec89a6d50be9dc855a9,phishing_address_groundtruth.txt,1,1
0x0111a93692b5ccff5c4b006d88d82664f76dfd21,cryptoscamdb_urls.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,5,1
0x0112faf0cc1155f6c277c724c23fcb66f8accdd1,phishing_addresses.csv;scamsniffer-phishing-address.json,2,1
0x0118796ca1f83dc5794f095a2e2189d9afc8b301,phishing_address_groundtruth.txt,1,1
0x011aca08ac8f7bfd39104d4a5283d0f66651a566,phishing_address_groundtruth.txt,1,1
0x011da0ab16577cbb73374a5b9b869d66253150e7,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x011f08f799102d5654b7f6da2b861d5cb16b71cd,phishing_address_groundtruth.txt,1,1
0x0128282ce73c72decabaeace9358344adff449fe,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x012c64792df426379cc3041f742ec7327b9a4fbf,phishing_address_groundtruth.txt,1,1
0x012d600d67ac9b5cb23e30d83f7f7d5e58e50c53,phishing_address_groundtruth.txt,1,1
0x0131c9a2fe609f03f6f7a0cf850a417a648c695e,etherscan_malicious_labels.csv;master_blacklist_set.txt,2,1
0x0132946103efffa43337128cf65f0b3531378e87,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x0135c9a7bff72aa26e1d105ff5000e454e4dde7a,master_blacklist_set.txt,1,1
0x013c72cfa8cd9f3291d683c579df6cfeb397a7c4,phishing_addresses.csv;scamsniffer-phishing-address.json,2,1
0x013cf38630bae107751a9d915c71acf69b5f4138,phishing_address_groundtruth.txt,1,1
0x01421ccc0e90d01827ce8c6269e2df04056026d3,scamsniffer-phishing-address.json,1,1
0x01454cdc3fab2a026cc7d1cb2aea9b909d5ba0ee,cryptoscamdb_urls.yaml,1,1
0x014a03c0d8accf0a3c52967f30ce0386da1d3f08,phishing_address_groundtruth.txt,1,1
0x014e261afd0bad1b2391909b1641e4eb5c319a7b,cryptoscamdb_urls.yaml;etherscan_malicious_labels.csv;master_blacklist_set.txt;phishing_addresses.csv,4,1
0x0152f218ce980db7dc2871961bf239f9c8979fc0,phishing_addresses.csv;scamsniffer-phishing-address.json,2,1
0x0153775362c3071c1860e8dbfd53ccc82fa226f5,addresses-darklist.json;cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,8,1
0x015a8f02b4e55b3c93678e5b44f7205ff9e8ece2,cryptoscamdb_urls.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,5,1
0x015c0e438b3a01511b98d928bd031d3dc50abb9e,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_address_bonus.txt;phishing_scams.csv;trans2vec-phishing-address.txt,6,1
0x015f17e2851ea392351b7f259e4cfd03dc443cef,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x015fca1d09287823e634ae51237ee1eeff03d9d5,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x0161d059f6620a1b64aa2078cde3e05ee206c1d7,phishing_address_groundtruth.txt,1,1
0x01634df6d6bdb4963edd3a9580e6fb15715a024a,phishing_address_groundtruth.txt,1,1
0x0163617542f1e06c126349118483cacc5a1f4e9f,etherscan_malicious_labels.csv;master_blacklist_set.txt;phishing_scams.csv,3,1
0x0164c1b65f89b0e201ecfd61b829f5e07172fd40,etherscan_malicious_labels.csv;master_blacklist_set.txt,2,1
0x0167409e6106ec3e3f05a09fcf04606918d21ad5,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x016a384ceb15de5117f2dae0742702456235f4f8,phishing_address_groundtruth.txt,1,1
0x016b4a47cad88f5b0da647274e8f92eea6cb1917,phishing_address_groundtruth.txt,1,1
0x016c0261c48d089ac26d0a48f840c9a9d5e203dd,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x016c1d7cb2af9c30b3514fe124f18f7c8bca0597,phishing_address_groundtruth.txt,1,1
0x016cf0887fb6e1ec7bbfa2fde621725d2a471a88,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x016e20cad525bfb802ae3f12ecbcb64b5ad8410b,master_blacklist_set.txt,1,1
